id,host_id,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,availability_30,number_of_reviews,host_listing_count,20-29,30-39,40-49,50-59,60-69,70-79,80-84,85-89,90-94,95-100,price,price_log
1832210,8232961,10009,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,26,8,1,0,0,0,0,0,0,0,0,0,1,249.0,5.517452896464707
4715873,24318465,10014,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,29,1,1,0,0,0,0,0,0,0,0,0,1,300.0,5.703782474656201
1987949,10252755,10032,Apartment,Entire home/apt,4,1.0,3.0,3.0,Real Bed,3,0,1,1,0,0,0,0,0,0,0,0,1,0,145.0,4.976733742420574
678593,3239771,11216,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,7,26,12,2,0,0,0,0,0,0,1,0,0,0,47.0,3.8501476017100584
4061171,21065295,10035,Apartment,Private room,3,1.0,1.0,1.0,Real Bed,2,16,3,1,0,0,0,0,0,0,0,0,1,0,85.0,4.442651256490317
2013807,1364042,10002,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,3,2,29,2,0,0,0,0,0,0,0,0,1,0,120.0,4.787491742782046
193926,941249,10027,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,1,30,8,1,0,0,0,0,0,0,0,1,0,0,99.0,4.59511985013459
1766846,5586949,10003,Apartment,Private room,2,1.5,1.0,1.0,Real Bed,1,26,37,2,0,0,0,0,0,0,0,0,0,1,150.0,5.0106352940962555
1309339,7117174,10009,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,1,29,13,2,0,0,0,0,0,0,0,0,0,1,110.0,4.700480365792417
1834509,208926,10003,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,3,29,2,2,0,0,0,0,0,0,0,0,1,0,90.0,4.499809670330265
1832413,3894834,11225,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,2,14,1,0,0,0,0,0,0,0,0,1,0,52.0,3.9512437185814275
785508,873273,10032,Apartment,Private room,3,1.0,1.0,3.0,Real Bed,3,26,76,3,0,0,0,0,0,0,0,0,1,0,65.0,4.174387269895637
3930149,92782,11222,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,28,4,1,0,0,0,0,0,0,0,0,1,0,115.0,4.74493212836325
367498,1855449,11215,House,Entire home/apt,5,1.0,3.0,3.0,Real Bed,7,16,23,2,0,0,0,0,0,0,0,0,0,1,275.0,5.616771097666572
1771965,9306716,10026,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,2,10,16,1,0,0,0,0,0,0,0,0,1,0,175.0,5.1647859739235145
2096737,4281357,10014,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,12,10,1,0,0,0,0,0,0,0,0,0,1,250.0,5.521460917862246
3012661,15352495,10036,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,3,18,10,1,0,0,0,0,0,0,0,0,1,0,179.0,5.187385805840755
